Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
moyda,Raw Material,,,KG,500,AST,,,,,60,1997,,,
Sugar,Raw Material,,,KG,200,Brand 2,,,,,100.25,688,,,
Dalda,Raw Material,,,KG,112,Brand 3,,,,,192.26,410,,,
Oil,Raw Material,,,KG,100,Brand 4,,,,,185,530,,,
SP Gee,Raw Material,,,KG,5,Brand 5,,,,,850,22,,,
Normal Gee,Raw Material,,,KG,5,Brand 6,,,,,400,44,,,
Sp bater,Raw Material,,,KG,10,Brand 7,,,,,350,10,,,
Normal batar,Raw Material,,,KG,5,Brand 8,,,,,250,23,,,
Cake bag 2 lbs,Raw Material,,,PCS,50,Brand 9,,,,,11.26,305,,,
Cake bag 3 lbs,Raw Material,,,PCS,50,Brand 10,,,,,11.26,305,,,
Cake bag 4 lbs,Raw Material,,,PCS,50,Brand 11,,,,,11.26,305,,,
Cake bag (5-6) lbs,Raw Material,,,PCS,50,Brand 12,,,,,11.26,305,,,
Venila powder,Raw Material,,,KG,50,Brand 13,,,,,410,110,,,
Choklet powder,Raw Material,,,KG,30,Brand 14,,,,,481,68,,,
Huyep crem Tropical,Raw Material,,,KG,30,Brand 15,,,,,230,52,,,
Huyep crem vivo ,Raw Material,,,KG,30,Brand 16,,,,,450.8,55,,,
Cake box 1 - 6 lbs,Raw Material,,,PCS,100,Brand 17,,,,,27.8,5616,,,
Cake box 7 - 50 lbs,Raw Material,,,PCS,20,Brand 23,,,,,414.62,120,,,
Cake Bord 2 lbs,Raw Material,,,PCS,100,Brand 34,,,,,24.18,559,,,
Cake Bord 3 lbs,Raw Material,,,PCS,50,Brand 35,,,,,24.18,559,,,
Cake Bord 4 lbs,Raw Material,,,PCS,50,Brand 36,,,,,24.18,559,,,
Cake Bord 5 lbs,Raw Material,,,PCS,40,Brand 37,,,,,24.18,559,,,
Cake Bord 8 lbs,Raw Material,,,PCS,20,Brand 38,,,,,24.18,559,,,
Cake Bord 10 lbs,Raw Material,,,PCS,20,Brand 39,,,,,292.84,45,,,
Cake Bord 15 lbs,Raw Material,,,PCS,10,Brand 40,,,,,292.84,40,,,
Cake Bord 20 lbs,Raw Material,,,PCS,10,Brand 41,,,,,292.84,30,,,
Cake Bord 25 lbs,Raw Material,,,PCS,10,Brand 42,,,,,292.84,20,,,
Cake Bord 30 lbs,Raw Material,,,PCS,5,Brand 43,,,,,292.84,15,,,
Cake Bord 35 lbs,Raw Material,,,PCS,5,Brand 44,,,,,292.84,15,,,
Cake Bord 40 lbs,Raw Material,,,PCS,5,Brand 45,,,,,292.84,15,,,
Cake Bord 45 lbs,Raw Material,,,PCS,5,Brand 46,,,,,292.84,9,,,
Cake Bord 50 lbs,Raw Material,,,PCS,5,Brand 47,,,,,292.84,3,,,
Sugar pepar,Raw Material,,,PCS,30,Brand 48,,,,,200,58,,,
Jeli,Raw Material,,,KG,5,Brand 49,,,,,250,5,,,
Pasty flebar,Raw Material,,,KG,0.5,Brand 50,,,,,938.46,3,,,
Mimi choklet,Raw Material,,,KG,10,Brand 51,,,,,531,80,,,
varity rong clour,Raw Material,,,KG,4,Brand 52,,,,,979.08,15,,,
