Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Dove pot Shampoo-1,Cosmetic,,,pcs,,,,225.00,NA,0.00,Inclusive,245.00,3.00,,,,
Dove pot Shampoo-2,Cosmetic,,,pcs,,,,230.00,NA,0.00,Inclusive,250.00,6.00,,,,
Dove mini pack-4,Cosmetic,,,pcs,,,,3.67,NA,0.00,Inclusive,4.00,204.00,,,,
sunsilk mini pack-2,Cosmetic,,,pcs,,,,1.79,NA,0.00,Inclusive,2.00,792.00,,,,
Clear Man mini-4,Cosmetic,,,pcs,,,,3.58,NA,0.00,Inclusive,4.00,101.00,,,,
Clear Man pot,Cosmetic,,,pcs,,,,245.00,NA,0.00,Inclusive,270.00,4.00,,,,
Sensodyne paste,Cosmetic,,,pcs,,,,165.00,NA,0.00,Inclusive,180.00,2.00,,,,
Sensodyne paste,Cosmetic,,,pcs,,,,170.00,NA,0.00,Inclusive,180.00,15.00,,,,
Clini Shampo-1,Cosmetic,,,pcs,,,,0.84,NA,0.00,Inclusive,1.00,2239.00,,,,
Super White Powder-500,Cosmetic,,,Packet,,,,78.00,NA,0.00,Inclusive,85.00,38.00,,,,
Rin-500 gm,Cosmetic,,,Packet,,,,87.00,NA,0.00,Inclusive,95.00,45.00,,,,
While Powder-500 gm,Cosmetic,,,Packet,,,,65.00,NA,0.00,Inclusive,70.00,63.00,,,,
While Powder-200 gm,Cosmetic,,,Packet,,,,27.00,NA,0.00,Inclusive,30.00,139.00,,,,
Vim Liquid-500 gm,Cosmetic,,,pcs,,,,108.00,NA,0.00,Inclusive,120.00,10.00,,,,
Vim Liquid-250 gm,Cosmetic,,,pcs,,,,60.00,NA,0.00,Inclusive,65.00,6.00,,,,
Vim Powder-500 gm,Cosmetic,,,Packet,,,,37.00,NA,0.00,Inclusive,40.00,60.00,,,,
Rin-200 gm,Cosmetic,,,Packet,,,,36.00,NA,0.00,Inclusive,40.00,135.00,,,,
Vim Soap,Cosmetic,,,pcs,,,,37.00,NA,0.00,Inclusive,40.00,28.00,,,,
Dove Soap Big,Cosmetic,,,pcs,,,,160.00,NA,0.00,Inclusive,170.00,0.00,,,,
Dove Soap Small,Cosmetic,,,pcs,,,,125.00,NA,0.00,Inclusive,135.00,4.00,,,,
Dove Soap 60 gm,Cosmetic,,,pcs,,,,78.00,NA,0.00,Inclusive,90.00,24.00,,,,
Savlon Soap-75,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,153.00,,,,
