Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Dove pot Shampoo,Cosmetic,,,pcs,,Local,,229.00,NA,0,Inclusive,249.00,7
Dove mini pack-4,Cosmetic,,,pcs,,Local,,3.67,NA,0,Inclusive,4.00,103
sunsilk mini pack-2,Cosmetic,,,pcs,,Local,,1.79,NA,0,Inclusive,2.00,409
Clear Man mini-4,Cosmetic,,,pcs,,Local,,3.58,NA,0,Inclusive,4.00,8
Clear Man pot,Cosmetic,,,pcs,,Local,,245.00,NA,0,Inclusive,270.00,0
Sensodyne paste,Cosmetic,,,pcs,,Local,,170.00,NA,0,Inclusive,180.00,15
Clinic Shampo-1 tk,Cosmetic,,,pcs,,Local,,0.83,NA,0,Inclusive,1.00,2018
Super White Powder-500,Cosmetic,,,Packet,,Local,,78.00,NA,0,Inclusive,85.00,21
Rin-500 gm,Cosmetic,,,Packet,,Local,,87.00,NA,0,Inclusive,95.00,26
Wheel Powder-500 gm,Cosmetic,,,Packet,,Local,,65.00,NA,0,Inclusive,70.00,26
Wheel Powder-200 gm,Cosmetic,,,Packet,,Local,,27.00,NA,0,Inclusive,30.00,104
Vim Liquid-500 gm,Cosmetic,,,Packet,,Local,,108.00,NA,0,Inclusive,120.00,7
Vim Liquid-250 gm,Cosmetic,,,Packet,,Local,,60.00,NA,0,Inclusive,65.00,4
Vim Powder-500 gm,Cosmetic,,,Packet,,Local,,37.00,NA,0,Inclusive,40.00,39
Rin-200 gm,Cosmetic,,,Packet,,Local,,36.00,NA,0,Inclusive,40.00,117
Vim Bar,Cosmetic,,,pcs,,Local,,37.00,NA,0,Inclusive,40.00,26
Dove Soap Small,Cosmetic,,,pcs,,Local,,125.00,NA,0,Inclusive,135.00,0
Dove Soap 60 gm,Cosmetic,,,pcs,,Local,,78.00,NA,0,Inclusive,90.00,20
Savlon Soap-75,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,257
Sandelina Soap-75,Cosmetic,,,pcs,,Local,,41.00,NA,0,Inclusive,45.00,8
Dettol-75,Cosmetic,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,17
Lifebuoy Soap,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,43
Meril Soap-100 Gm,Cosmetic,,,pcs,,Local,,53.00,NA,0,Inclusive,55.00,139
Chaka Ball Soap,Cosmetic,,,pcs,,Local,,21.00,NA,0,Inclusive,23.00,58
Wheel Soap,Cosmetic,,,pcs,,Local,,27.00,NA,0,Inclusive,30.00,20
Lux Soap -75 gm,Cosmetic,,,pcs,,Local,,41.00,NA,0,Inclusive,45.00,220
Lux Mini,Cosmetic,,,pcs,,Local,,13.50,NA,0,Inclusive,15.00,41
Saban Case,Cosmetic,,,pcs,,Local,,13.00,NA,0,Inclusive,15.00,51
Close Up-45 gm,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,47
Close Up-100 gm,Cosmetic,,,pcs,,Local,,98.00,NA,0,Inclusive,110.00,30
Cosco Soap,Cosmetic,,,pcs,,Local,,12.50,NA,0,Inclusive,14.00,33
Tibet Gamaci Powder,Cosmetic,,,pcs,,Local,,48.00,NA,0,Inclusive,55.00,5
sunsilk Pot Shampo,Cosmetic,,,pcs,,Local,,215.00,NA,0,Inclusive,230.00,0
Lifebuoy refill,Cosmetic,,,Packet,,Local,,65.00,NA,0,Inclusive,73.00,7
Lifebuoy Pot,Cosmetic,,,pcs,,Local,,73.00,NA,0,Inclusive,80.00,8
Pepsodent 100 gm,Cosmetic,,,pcs,,Local,,90.00,NA,0,Inclusive,100.00,57
Pepsodent 50 gm,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,47
Mediplus 90 gm,Cosmetic,,,pcs,,Local,,80.00,NA,0,Inclusive,90.00,9
Mediplus 50 gm,Cosmetic,,,pcs,,Local,,42.00,NA,0,Inclusive,48.00,0
Garnier Men,Cosmetic,,,pcs,,Local,,270.00,NA,0,Inclusive,300.00,2
Ponds Facewash 50 gm,Cosmetic,,,pcs,,Local,,120.00,NA,0,Inclusive,130.00,0
Parachute oil 200 gm,Cosmetic,,,pcs,,Local,,143.00,NA,0,Inclusive,155.00,3
Parachute oil 100 gm,Cosmetic,,,pcs,,Local,,80.00,NA,0,Inclusive,85.00,9
Olive Oil 100 gm,Cosmetic,,,pcs,,Local,,140.00,NA,0,Inclusive,155.00,9
Mastered Oil 80 gm,Cosmetic,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,39
Mastered Oil 250 gm,Cosmetic,,,pcs,,Local,,85.00,NA,0,Inclusive,100.00,4
Nivea Soft 50 gm,Cosmetic,,,pcs,,Local,,117.00,NA,0,Inclusive,130.00,15
Fair & Handsome 30 gm,Cosmetic,,,pcs,,Local,,145.00,NA,0,Inclusive,160.00,4
Surf excel Mini,Cosmetic,,,pcs,,Local,,4.42,NA,0,Inclusive,5.00,154
Dettol Liqued,Cosmetic,,,pcs,,Local,,50.00,NA,0,Inclusive,55.00,3
Hi Speedy Foam 100 mm,Cosmetic,,,pcs,,Local,,90.00,NA,0,Inclusive,100.00,1
Bleaching Powder,Cosmetic,,,Packet,,Local,,48.00,NA,0,Inclusive,55.00,28
Wild Stone Perfume,Cosmetic,,,pcs,,Local,,310.00,NA,0,Inclusive,350.00,6
Nivea Perfume,Cosmetic,,,pcs,,Local,,295.00,NA,0,Inclusive,310.00,3
Kool Perfume,Cosmetic,,,pcs,,Local,,210.00,NA,0,Inclusive,230.00,4
Lafz Perfume,Cosmetic,,,pcs,,Local,,170.00,NA,0,Inclusive,190.00,6
One Man Perfume,Cosmetic,,,pcs,,Local,,390.00,NA,0,Inclusive,410.00,1
Fogg Perfume-1,Cosmetic,,,pcs,,Local,,250.00,NA,0,Inclusive,280.00,1
KS perfume,Cosmetic,,,pcs,,Local,,190.00,NA,0,Inclusive,210.00,3
Blue Bird Perfume,Cosmetic,,,pcs,,Local,,130.00,NA,0,Inclusive,150.00,3
Hand Sanitizer-250 gm,Cosmetic,,,pcs,,Local,,85.00,NA,0,Inclusive,100.00,15
Denver Perfume,Cosmetic,,,pcs,,Local,,265.00,NA,0,Inclusive,290.00,4
Kool Foam Small,Cosmetic,,,pcs,,Local,,120.00,NA,0,Inclusive,130.00,27
Kool Foam Big,Cosmetic,,,pcs,,Local,,185.00,NA,0,Inclusive,210.00,56
Gillette Foam Big,Cosmetic,,,pcs,,Local,,290.00,NA,0,Inclusive,300.00,11
Gillette Gel Foam,Cosmetic,,,pcs,,Local,,250.00,NA,0,Inclusive,270.00,3
Hi Speedy Foam 100 gm,Cosmetic,,,pcs,,Local,,145.00,NA,0,Inclusive,160.00,23
Savlon Cream,Cosmetic,,,pcs,,Local,,36.00,NA,0,Inclusive,40.00,9
ponds Facewash 100 gm,Cosmetic,,,pcs,,Local,,205.00,NA,0,Inclusive,220.00,8
Rexsona tube,Cosmetic,,,pcs,,Local,,150.00,NA,0,Inclusive,170.00,4
Toothbrush-25,Cosmetic,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,2
Toothbrush-30,Cosmetic,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,17
Toothbrush-40,Cosmetic,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,12
Toothbrush-50,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,10
Toothbrush-85,Cosmetic,,,pcs,,Local,,75.00,NA,0,Inclusive,85.00,17
Blue Chomok Small,Cosmetic,,,pcs,,Local,,17.00,NA,0,Inclusive,20.00,16
Blue Chomok Big,Cosmetic,,,pcs,,Local,,26.00,NA,0,Inclusive,30.00,4
Toilet Tissue,Cosmetic,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,47
Messwalk,Cosmetic,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,3
Ayna  Miror,Cosmetic,,,pcs,,Local,,10.00,NA,0,Inclusive,12.00,3
cironi,Cosmetic,,,pcs,,Local,,3.00,NA,0,Inclusive,5.00,51
Napkin Tissue,Cosmetic,,,pcs,,Local,,60.00,NA,0,Inclusive,65.00,71
Odonil,Cosmetic,,,pcs,,Local,,50.00,NA,0,Inclusive,60.00,22
Tisue box,Cosmetic,,,pcs,,Local,,60.00,NA,0,Inclusive,65.00,27
Kitchen Tissue,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,55.00,14
Nivea Rexsona,Cosmetic,,,pcs,,Local,,170.00,NA,0,Inclusive,185.00,5
Magic Powder,Cosmetic,,,pcs,,Local,,26.00,NA,0,Inclusive,30.00,1
Gogsa net,Cosmetic,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,53
Vixsol,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,55.00,13
cotton bird,Cosmetic,,,Packet,,Local,,3.00,NA,0,Inclusive,5.00,7
Harpic 500 gm,Cosmetic,,,pcs,,Local,,110.00,NA,0,Inclusive,120.00,22
Harpic 750 gm,Cosmetic,,,pcs,,Local,,143.00,NA,0,Inclusive,155.00,24
Majoni,Cosmetic,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,8
Gillete Guard,Cosmetic,,,pcs,,Local,,15.00,NA,0,Inclusive,16.00,90
Gillete Blade,Cosmetic,,,pcs,,Local,,13.75,NA,0,Inclusive,20.00,16
Gillete Grard Rezar,Cosmetic,,,pcs,,Local,,34.00,NA,0,Inclusive,38.00,156
Gillete Blue-3,Cosmetic,,,pcs,,Local,,48.00,NA,0,Inclusive,55.00,102
Glass Cleaner,Cosmetic,,,pcs,,Local,,129.00,NA,0,Inclusive,149.00,7
Arosol ACI,Cosmetic,,,pcs,,Local,,375.00,NA,0,Inclusive,400.00,8
Dampixer,Cosmetic,,,pcs,,Local,,60.00,NA,0,Inclusive,70.00,24
Phenyle,Cosmetic,,,pcs,,Local,,150.00,NA,0,Inclusive,170.00,1
Angelic Air Freshener-200 tk,Cosmetic,,,pcs,,Local,,170.00,NA,0,Inclusive,200.00,1
Angelic Air Freshener-260 tk,Cosmetic,,,pcs,,Local,,240.00,NA,0,Inclusive,260.00,3
Move ,Cosmetic,,,pcs,,Local,,145.00,NA,0,Inclusive,155.00,0
Meril Petrolem-50 gm,Cosmetic,,,pcs,,Local,,50.00,NA,0,Inclusive,55.00,13
colgate 175 gm,Cosmetic,,,pcs,,Local,,125.00,NA,0,Inclusive,140.00,11
colgate mini,Cosmetic,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,20
Schick Rezear,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,8
Meril Revive Loation-100 gm,Cosmetic,,,pcs,,Local,,135.00,NA,0,Inclusive,150.00,16
Meril Revive Loation-200 gm,Cosmetic,,,pcs,,Local,,180.00,NA,0,Inclusive,200.00,0
Meril Lepjel Stick-40 tk,Cosmetic,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,1
China Chep Stick-55 tk,Cosmetic,,,pcs,,Local,,45.00,NA,0,Inclusive,55.00,11
Meril Lepjel Chep Stick-50 tk,Cosmetic,,,pcs,,Local,,43.00,NA,0,Inclusive,50.00,17
Ponds Loation-100 gm,Cosmetic,,,pcs,,Local,,125.00,NA,0,Inclusive,140.00,22
Ponds Loation-200 gm,Cosmetic,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,8
Vaseline Loation 100 gm,Cosmetic,,,pcs,,Local,,140.00,NA,0,Inclusive,160.00,15
Vaseline Loation 200 gm,Cosmetic,,,pcs,,Local,,250.00,NA,0,Inclusive,270.00,5
ponds loation Mini,Cosmetic,,,pcs,,Local,,59.00,NA,0,Inclusive,65.00,8
Glycerin Mini,Cosmetic,,,pcs,,Local,,72.00,NA,0,Inclusive,80.00,17
Cute Mini,Cosmetic,,,pcs,,Local,,54.00,NA,0,Inclusive,60.00,5
