Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Army ID Card Clip,Army item ,,,pcs,,Local,,4.50,NA,0,Inclusive,5.00,156
Atol 56 Notebook,Army item ,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,3
Boot Tail Rubber,Army item ,,,Pair ,,Local,,6.00,NA,0,Inclusive,7.00,50
Consciousness & Values card,Army item ,,,pcs,,Local,,6.00,NA,0,Inclusive,7.00,254
Clip Board,Stationary Item,,,pcs,,Local,,52.00,NA,0,Inclusive,58.00,8
ID Card Cover,Army item ,,,pcs,,Local,,30.00,NA,0,Inclusive,35.00,100
Neem Saban,Cosmetic Item,,,pcs,,Local,,38.00,NA,0,Inclusive,40.00,65
Dab Shampoo Mini Pack,Cosmetic Item,,,pcs,,Local,,3.50,NA,0,Inclusive,4.00,206
Gillete Shaving Brush,Grossary Item,,,pcs,,Local,,13.00,NA,0,Inclusive,15.00,3
Needle Stick Gun,Grossary Item,,,pcs,,Local,,250.00,NA,0,Inclusive,270.00,1
Hangar,Grossary Item,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,197
Harpic,Grossary Item,,,pcs,,Local,,105.00,NA,0,Inclusive,115.00,8
Line Beding,Army item ,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,17
Field Rank (Offr's/JCO),Army item ,,,Pair ,,Local,,45.00,NA,0,Inclusive,47.00,12
OHP Marker Pen,Stationary Item,,,packet,,Local,,420.00,NA,0,Inclusive,462.00,6
Osaka Tape,Grossary Item,,,pcs,,Local,,14.00,NA,0,Inclusive,20.00,20
Rank Shapla ,Army item ,,,Pair ,,Local,,40.00,NA,0,Inclusive,45.00,8
Rank Star,Army item ,,,Pair ,,Local,,45.00,NA,0,Inclusive,50.00,5
Ribbon-3,Army item ,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,55
White Handkerchief,Army item ,,,pcs,,Local,,13.00,NA,0,Inclusive,15.00,96
Needle Holder,Army item ,,,pcs,,Local,,30.00,NA,0,Inclusive,35.00,25
Tibetan  Scrub Powder,Cosmetic Item,,,pcs,,Local,,50.00,NA,0,Inclusive,55.00,5
32 mm Lock,Grossary Item,,,pcs,,Local,,53.00,NA,0,Inclusive,60.00,3
Ponds Cold Cream,Cosmetic Item,,,pcs,,Local,,59.00,NA,0,Inclusive,65.00,11
Liquid Hand Sanitizer,Cosmetic Item,,,pcs,,Local,,350.00,NA,0,Inclusive,385.00,61
Spray Ink Pen,Stationary Item,,,pcs,,Local,,10.00,NA,0,Inclusive,11.00,213
Spray Bottle Plastic,Cosmetic Item,,,pcs,,Local,,40.00,NA,0,Inclusive,45.00,7
Pen Normal,Stationary Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,96
VIP Stray Cigarettes,Grossary Item,,,pcs,,Local,,140.00,NA,0,Inclusive,150.00,1
Rice Disk,Grossary Item,,,pcs,,Local,,595.00,NA,0,Inclusive,655.00,1
Name Plate,Army item ,,,pcs,,Local,,25.00,NA,0,Inclusive,27.00,265
Orsaline,Grossary Item,,,Packet,,Local,,5.00,NA,0,Inclusive,6.00,130
Offr's Deep Sing,Army item ,,,pcs,,Local,,50.00,NA,0,Inclusive,55.00,4
Mobile Navy Bag,Grossary Item,,,Packet,,Local,,250.00,NA,0,Inclusive,280.00,3
Mobile Stand,Grossary Item,,,pcs,,Local,,120.00,NA,0,Inclusive,140.00,1
Milk Paper,Stationary Item,,,yerds,,Local,,70.00,NA,0,Inclusive,80.00,40
Chemo Flux Cream,Army item ,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,10
James Clip,Stationary Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,12
Sick Book,Army item ,,,pcs,,Local,,27.00,NA,0,Inclusive,29.00,54
CD Marker Pen,Stationary Item,,,pcs,,Local,,28.00,NA,0,Inclusive,35.00,1
White Board Pen,Stationary Item,,,pcs,,Local,,20.00,NA,0,Inclusive,30.00,3
Steelness Scale,Stationary Item,,,pcs,,Local,,24.00,NA,0,Inclusive,25.00,5
Money Bag Army Colour,Grossary Item,,,pcs,,Local,,105.00,NA,0,Inclusive,115.00,16
Lifeboy Hand Wash,Cosmetic Item,,,pcs,,Local,,92.00,NA,0,Inclusive,100.00,2
Sign Pen,Stationary Item,,,pcs,,Local,,6.00,NA,0,Inclusive,7.00,18
Aimol Kolop Kali,Cosmetic Item,,,Packet,,Local,,60.00,NA,0,Inclusive,70.00,14
Melamine Rice Plate,Grossary Item,,,pcs,,Local,,95.00,NA,0,Inclusive,100.00,2
Jainamaz,Grossary Item,,,pcs,,Local,,320.00,NA,0,Inclusive,350.00,9
Vesline 100g,Cosmetic Item,,,pcs,,Local,,142.00,NA,0,Inclusive,155.00,19
Chapstic Lip Gel,Cosmetic Item,,,pcs,,Local,,65.00,NA,0,Inclusive,75.00,4
Hayden Solder Shampoo170 ml,Grossary Item,,,pcs,,Local,,275.00,NA,0,Inclusive,300.00,4
WhatsApp Jaket,Cloth,,,pcs,,Local,,650.00,NA,0,Inclusive,750.00,1
Chaina Hat,Cloth,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,20
Rupa Genji,Cloth,,,pcs,,Local,,120.00,NA,0,Inclusive,130.00,18
Dada Genji,Cloth,,,pcs,,Local,,125.00,NA,0,Inclusive,145.00,8
Pencil Rubber,Stationary Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,25
Cashmemo,Stationary Item,,,pcs,,Local,,100.00,NA,0,Inclusive,100.00,17
Benson Cigarette Regular,Smoking Item,,,pcs,,Local,,312.00,NA,0,Inclusive,335.00,0
Benson Cigarette Switch,Smoking Item,,,pcs,,Local,,312.00,NA,0,Inclusive,335.00,0
Camel Cigarette,Smoking Item,,,pcs,,Local,,136.00,NA,0,Inclusive,150.00,160
Darby Cigarette,Smoking Item,,,pcs,,Local,,44.00,NA,0,Inclusive,50.00,0
Royal Cigarette,Smoking Item,,,pcs,,Local,,54.00,NA,0,Inclusive,60.00,0
Gold Life Cigarette,Smoking Item,,,pcs,,Local,,238.00,NA,0,Inclusive,255.00,0
Cute Cold Cream,Cosmetic Item,,,pcs,,Local,,90.00,NA,0,Inclusive,95.00,1
Tibet Promet,Cosmetic Item,,,pcs,,Local,,62.00,NA,0,Inclusive,70.00,3
Cool After Lotion,Cosmetic Item,,,pcs,,Local,,122.00,NA,0,Inclusive,140.00,4
Just for Body Spray,Cosmetic Item,,,pcs,,Local,,280.00,NA,0,Inclusive,310.00,2
OSSUME Parfume-115 ml,Cosmetic Item,,,pcs,,Local,,350.00,NA,0,Inclusive,380.00,8
Offr's Rank Badge,Army item ,,,Pair,,Local,,45.00,NA,0,Inclusive,50.00,3
Rank Badge Other,Army item ,,,Pair,,Local,,35.00,NA,0,Inclusive,40.00,86
Cap Screw,Army item ,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,52
Odonil Plastic ATM,Cosmetic Item,,,pcs,,Local,,60.00,NA,0,Inclusive,70.00,1
Colegate Truth Brush Cut,Cosmetic Item,,,pcs,,Local,,30.00,NA,0,Inclusive,32.00,24
Popular Boot Ink Small,Army item ,,,pcs,,Local,,787.00,NA,0,Inclusive,85.00,12
Tissue Box,Cosmetic Item,,,Packet,,Local,,53.00,NA,0,Inclusive,60.00,8
Flute,Army item ,,,pcs,,Local,,48.00,NA,0,Inclusive,55.00,31
Weight Machine,Grossary Item,,,pcs,,Local,,750.00,NA,0,Inclusive,825.00,1
FA Saban -175 g,Cosmetic Item,,,pcs,,Local,,165.00,NA,0,Inclusive,180.00,7
Sandilina Saban 75g,Cosmetic Item,,,pcs,,Local,,50.00,NA,0,Inclusive,55.00,6
Brass Lock 25 ml,Grossary Item,,,pcs,,Local,,47.00,NA,0,Inclusive,50.00,13
Dr. Rhazes Air Freshner,Cosmetic Item,,,pcs,,Local,,260.00,NA,0,Inclusive,275.00,6
Ator,Grossary Item,,,pcs,,Local,,85.00,NA,0,Inclusive,95.00,22
Fair & Lovely Indian,Cosmetic Item,,,pcs,,Local,,215.00,NA,0,Inclusive,240.00,8
Fair & Malti 50 g,Cosmetic Item,,,pcs,,Local,,157.00,NA,0,Inclusive,170.00,5
Popular Boot Ink Big,Army item ,,,pcs,,Local,,125.00,NA,0,Inclusive,130.00,36
Clear Men Shampoo Mini pac,Cosmetic Item,,,pcs,,Local,,3.50,NA,0,Inclusive,4.00,75
Under War Chaina,Cloth,,,pcs,,Local,,140.00,NA,0,Inclusive,160.00,21
Glucose 200 g,Grossary Item,,,pcs,,Local,,95.00,NA,0,Inclusive,100.00,23
Towel Pillow Cover,Cloth,,,pcs,,Local,,110.00,NA,0,Inclusive,125.00,2
Polished Brass Big,Army item ,,,pcs,,Local,,375.00,NA,0,Inclusive,410.00,1
Talc Paper 8 mm,Stationary Item,,,yards,,Local,,43.00,NA,0,Inclusive,50.00,54
Govt Half Genji,Army item ,,,pcs,,Local,,110.00,NA,0,Inclusive,120.00,24
Move Cream 50 g,Grossary Item,,,pcs,,Local,,185.00,NA,0,Inclusive,200.00,11
Saban Case,Cosmetic Item,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,40
Tissue Hand Towel,Cosmetic Item,,,pcs,,Local,,45.00,NA,0,Inclusive,48.00,25
Calculator City,Stationary Item,,,pcs,,Local,,600.00,NA,0,Inclusive,650.00,1
Men's Moistarazing,Cosmetic Item,,,pcs,,Local,,40.00,NA,0,Inclusive,45.00,16
MR. Mazic Hand Wash,Cosmetic Item,,,pcs,,Local,,75.00,NA,0,Inclusive,80.00,2
Sweet Packet Big,Grossary Item,,,pcs,,Local,,14.00,NA,0,Inclusive,14.00,670
Sweet Packet Small,Grossary Item,,,pcs,,Local,,9.00,NA,0,Inclusive,9.00,720
Pencil Battery,Grossary Item,,,pcs,,Local,,15.00,NA,0,Inclusive,18.00,34
Cotton Bootless,Army item ,,,Pair,,Local,,6.00,NA,0,Inclusive,8.00,21
PT Case Army,Army item ,,,Pair,,Local,,400.00,NA,0,Inclusive,450.00,4
Small Torch Light-8670,Grossary Item,,,pcs,,Local,,88.00,NA,0,Inclusive,100.00,18
Montex Gel Pen,Stationary Item,,,pcs,,Local,,9.00,NA,0,Inclusive,10.00,15
Cute French Powder,Cosmetic Item,,,pcs,,Local,,58.00,NA,0,Inclusive,65.00,8
ID Card Holder,Army item ,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,55
Cool Fome 100 ml ,Cosmetic Item,,,pcs,,Local,,120.00,NA,0,Inclusive,135.00,27
Cool Fome 200 ml ,Cosmetic Item,,,pcs,,Local,,240.00,NA,0,Inclusive,250.00,11
Savlon Saban Big,Cosmetic Item,,,pcs,,Local,,62.00,NA,0,Inclusive,65.00,37
