Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Adorsho ekush mask,NA,,,PC,50,Local,,24.67,NA 0%,0.00,Inclusive,30,106,,Percentage,0
Surgical Mask,NA,,,PC,50,Local,,4.5,NA 0%,0.00,Inclusive,5,115,,Percentage,0
Adorsho ekush Chabi Ring,NA,,,pc ,50,Local,,90,NA 0%,0.00,Inclusive,100,5,,Percentage,0
Shirt,NA,,,pc ,50,Local,,520,NA 0%,0.00,Inclusive,570,3,,Percentage,0
Range Card,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,18,,Percentage,0
Helmet Thutoni,NA,,,pc ,50,Local,,6,NA 0%,0.00,Inclusive,10,8,,Percentage,0
Adorsho ekush genji (Red),NA,,,pc ,50,Local,,285,NA 0%,0.00,Inclusive,310,51,,Percentage,0
Sape Kata Roshi,NA,,,pc ,50,Local,,6.26,NA 0%,0.00,Inclusive,10,29,,Percentage,0
Star Rank,NA,,,pair,50,Local,,35,NA 0%,0.00,Inclusive,40,5,,Percentage,0
Kamoflex Crim,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,11,,Percentage,0
Elastic  ,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,0,,Percentage,0
Miror,NA,,,pc ,50,Local,,6.25,NA 0%,0.00,Inclusive,10,5,,Percentage,0
Suta Mini,NA,,,pc ,50,Local,,2.5,NA 0%,0.00,Inclusive,5,90,,Percentage,0
Medical Book   ,NA,,,pc ,50,Local,,17.65,NA 0%,0.00,Inclusive,25,80,,Percentage,0
ID Cover ,NA,,,pc ,50,Local,,20,NA 0%,0.00,Inclusive,30,0,,Percentage,0
Under-Wear Sorkare,NA,,,pc ,50,Local,,38.14,NA 0%,0.00,Inclusive,45,45,,Percentage,0
Haper bag baro/big,NA,,,pc ,50,Local,,495,NA 0%,0.00,Inclusive,540,0,,Percentage,0
Chindi ,NA,,,pc ,50,Local,,3.97,NA 0%,0.00,Inclusive,5,145,,Percentage,0
Tala Big,NA,,,pc ,50,Local,,115,NA 0%,0.00,Inclusive,130,1,,Percentage,0
Sale Darsing,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,2,,Percentage,0
Boot Brash Mini,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,33,,Percentage,0
Rank Bach,NA,,,pc ,50,Local,,25.98,NA 0%,0.00,Inclusive,30,177,,Percentage,0
Maril Glesarin ,NA,,,pc ,50,Local,,56.5,NA 0%,0.00,Inclusive,65,24,,Percentage,0
Hat Muja,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,4,,Percentage,0
Civil Tracsut,NA,,,pc ,50,Local,,620,NA 0%,0.00,Inclusive,685,1,,Percentage,0
Ribon,NA,,,pc ,50,Local,,4.19,NA 0%,0.00,Inclusive,5,74,,Percentage,0
Hanger,NA,,,pc ,50,Local,,15.39,NA 0%,0.00,Inclusive,20,10,,Percentage,0
Green cap,NA,,,pc ,50,Local,,121.25,NA 0%,0.00,Inclusive,130,5,,Percentage,0
leave card boro ,NA,,,pc ,50,Local,,76,NA 0%,0.00,Inclusive,90,24,,Percentage,0
Traning card/firing card  ,NA,,,pc ,50,Local,,8.37,NA 0%,0.00,Inclusive,15,83,,Percentage,0
Rang bage officer,NA,,,pc ,50,Local,,30,NA 0%,0.00,Inclusive,35,7,,Percentage,0
Warking dress balt ,NA,,,pc ,50,Local,,100,NA 0%,0.00,Inclusive,120,10,,Percentage,0
Casio gori ,NA,,,pc ,50,Local,,114.14,NA 0%,0.00,Inclusive,120,9,,Percentage,0
Rimort batari ,NA,,,pc ,50,Local,,21.17,NA 0%,0.00,Inclusive,25,14,,Percentage,0
Botlas ,NA,,,pc ,50,Local,,3.43,NA 0%,0.00,Inclusive,5,194,,Percentage,0
Pt pant ,NA,,,pc ,50,Local,,100,NA 0%,0.00,Inclusive,110,14,,Percentage,0
Gori ,NA,,,pc ,50,Local,,412.5,NA 0%,0.00,Inclusive,450,2,,Percentage,0
Note book ,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,37,,Percentage,0
Sada balku,NA,,,goz,50,Local,,20,NA 0%,0.00,Inclusive,22,2,,Percentage,0
Civil rumal valo,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,28,,Percentage,0
Maril savan Choto,NA,,,pc ,50,Local,,9.17,NA 0%,0.00,Inclusive,10,121,,Percentage,0
Tawala,NA,,,pc ,50,Local,,84.63,NA 0%,0.00,Inclusive,100,46,,Percentage,0
Torch light Choto ,NA,,,pc ,50,Local,,80,NA 0%,0.00,Inclusive,90,0,,Percentage,0
VIP div sin,NA,,,pc ,50,Local,,25,NA 0%,0.00,Inclusive,30,16,,Percentage,0
Div sin,NA,,,pc ,50,Local,,4,NA 0%,0.00,Inclusive,6,57,,Percentage,0
Botol cavar,NA,,,pc ,50,Local,,45,NA 0%,0.00,Inclusive,55,18,,Percentage,0
Steel chamus,NA,,,pc ,50,Local,,50,NA 0%,0.00,Inclusive,60,6,,Percentage,0
Pital palis boro,NA,,,pc ,50,Local,,370,NA 0%,0.00,Inclusive,400,5,,Percentage,0
Pital palis Choto,NA,,,pc ,50,Local,,150,NA 0%,0.00,Inclusive,170,0,,Percentage,0
Vim powder,NA,,,pc ,50,Local,,40.5,NA 0%,0.00,Inclusive,45,42,,Percentage,0
Mag steel,NA,,,pc ,50,Local,,78,NA 0%,0.00,Inclusive,85,6,,Percentage,0
Ct pas book ,NA,,,pc ,50,Local,,10,NA 0%,0.00,Inclusive,15,11,,Percentage,0
