recipe_name,output_product,yield_quantity,overhead_cost,overhead_cost_type,notes,ingredient_item,ingredient_quantity,ingredient_unit
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0013,0.125,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0042,2.5,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0063,0.0125,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0061,0.0025,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0095,1,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0015,0.25,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0016,0.25,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0037,0.005,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0092,0.01875,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0023,1,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0017,1,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0012,1,
Vanilla Chij Cake 1 lbs,IT0430,1,40,fixed,,IT0048,0.125,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0013,0.25,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0042,5,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0063,0.025,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0061,0.005,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0095,2,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0015,0.5,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0016,0.5,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0037,0.01,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0092,0.0375,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0023,1,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0017,1,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0012,1,
Vanilla Chij Cake 2 lbs,IT0431,1,40,fixed,,IT0048,0.25,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0013,0.375,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0042,7.5,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0063,0.0375,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0061,0.0075,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0095,3,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0015,0.75,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0016,0.75,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0037,0.015,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0092,0.05625,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0023,1,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0017,1,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0012,1,
Vanilla Chij Cake 3 lbs,IT0432,1,40,fixed,,IT0048,0.375,
Vanilla Chij Cake 4 lbs,IT0433,1,40,fixed,,IT0013,0.5,
Vanilla Chij Cake 4 lbs,IT0433,1,40,fixed,,IT0042,10,
Vanilla Chij Cake 4 lbs,IT0433,1,40,fixed,,IT0063,0.05,
Vanilla Chij Cake 4 lbs,IT0433,1,40,fixed,,IT0061,0.01,
Vanilla Chij Cake 4 lbs,IT0433,1,40,fixed,,IT0095,4,
