recipe_name,output_product,yield_quantity,overhead_cost,overhead_cost_type,notes,ingredient_item,ingredient_quantity,ingredient_unit
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0014,0.125,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0042,2.5,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0063,0.0125,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0061,0.0025,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0095,1,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0015,0.375,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0016,0.375,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0037,0.005,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0092,0.01875,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0023,1,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0017,1,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0012,1,
Chocolate Cake 1 lbs,IT0380,1,40,fixed,,IT0036,0.125,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0014,0.25,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0042,5,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0063,0.025,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0061,0.005,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0095,2,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0015,0.75,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0016,0.75,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0037,0.01,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0092,0.0375,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0023,1,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0017,1,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0012,1,
Chocolate Cake 2 lbs,IT0381,1,40,fixed,,IT0036,0.25,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0014,0.375,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0042,7.5,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0063,0.0375,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0061,0.0075,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0095,3,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0015,1.125,
Chocolate Cake 3 lbs,IT0382,1,40,fixed,,IT0016,1.125,
