recipe_name,output_product,yield_quantity,overhead_cost,overhead_cost_type,notes,ingredient_item,ingredient_quantity,ingredient_unit
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0013,0.125,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0042,2.5,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0063,0.0125,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0061,0.0025,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0095,1,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0015,0.25,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0016,0.25,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0037,0.005,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0092,0.01875,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0023,1,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0017,1,
Venila Cake 1 lbs,IT0216,1,40,fixed,,IT0012,1,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0013,0.25,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0042,5,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0063,0.025,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0061,0.005,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0095,2,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0015,0.5,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0016,0.5,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0037,0.01,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0092,0.0375,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0023,1,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0017,1,
Venila Cake 2 lbs,IT0217,1,40,fixed,,IT0012,1,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0013,0.375,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0042,7.5,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0063,0.0375,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0061,0.0075,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0095,3,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0015,0.75,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0016,0.75,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0037,0.015,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0092,0.05625,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0023,1,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0017,1,
Venila Cake 3 lbs,IT0218,1,40,fixed,,IT0012,1,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0013,0.5,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0042,10,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0063,0.05,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0061,0.01,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0095,4,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0015,1,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0016,1,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0037,0.02,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0092,0.075,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0023,1,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0017,1,
Venila Cake 4 lbs,IT0219,1,40,fixed,,IT0012,1,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0013,0.625,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0042,12.5,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0063,0.0625,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0061,0.0125,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0095,5,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0015,1.25,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0016,1.25,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0037,0.025,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0092,0.09375,
Venila Cake 5 lbs,IT0220,1,40,fixed,,IT0023,1,
